Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-09-27 10:08:36,1799,CMP - Bangarangs (close),236,0.2,8.5,Binocs,1,1,1,Eadin O'Mahony,Eye,Body,MarMam,Stellar's sea lion,Travel-S,NA,-1,No,,-129.374309822416,53.2360011352837,0.17888817424316,shore,9.11958124689329,1,1,7.6854
2021-09-27 12:19:11,1801,N/A,275,0.1,18,Big Eyes,3,3,3,Janie Wray,BigEyes,Body,MarMam,Orca,Travel-E,NA,-1,Can't check now,Don't know,-129.377829201082,53.2372007324395,0.384187023783302,shore,8.07757022170965,1,1,7.50553333333333
2021-09-27 12:26:19,1802,N/A,233,-0.1,6,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Humpback,Robust,NA,-1,Can't check now,Don't know,-129.384074887969,53.2314910967605,1.0001309180809,shore,9.22574191433206,1,1,7.45546666666667
2021-09-27 13:03:32,1803,Pitt - Mt Hulke (medium),279,2,2.4,Binocs,1,1,1,Eadin O'Mahony,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,Don't know,-129.379928773885,53.2376434488119,0.52908814008626,shore,9.04311702283661,1,1,6.94386666666667
2021-09-27 14:05:09,1804,Pitt - Twartz (close),283,2.7,7,Big Eyes,1,1,1,Eadin O'Mahony,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,Don't know,-129.383290544242,53.2384480511898,0.766132129076681,horizon,9.02850496219066,1,1,6.4038
2021-09-27 14:05:40,1805,Pitt - Twartz (close),288,2,11,Big Eyes,1,1,1,Eadin O'Mahony,Eye,Body,MarMam,Elephant seal,Active,NA,-1,No,Don't know,-129.379465370112,53.2383353407534,0.517011987491209,horizon,9.02559076961186,1,1,6.39966666666667
