Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-09-08 08:10:18,1617,Pitt - Union Pass (far),335,10.1,1.5,Big Eyes,1,1,1,April Howeling,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.393078839053,53.2638460148279,3.30908218314471,shore,11.2020739755108,1,1,9.9568
2021-09-08 08:23:26,1618,Pitt - Union Pass (far),334,9,2.6,Big Eyes,1,1,1,April Howeling,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Definitely,NA,-129.387698187452,53.2560603639375,2.372606275873,shore,11.178378875604,1,1,9.91456666666667
2021-09-08 09:04:21,1619,CMP - Penders (far),196,0.1,30,Binocs,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Stellar's sea lion,Travel-S,NA,-1,No,NA,-129.372357687167,53.2363272865301,0.0663062540673641,horizon,11.2114301799885,1,1,9.8748
2021-09-08 09:06:42,1620,Otter (far),233,5.7,19,Big Eyes,2,3,4,Chenoah Shine,Eye,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.377771652652,53.2343343722781,0.474424020289562,shore,9.25357112946434,1,1,9.8476
2021-09-08 09:12:06,1621,Pitt - Union Pass (far),320,2.4,18,Big Eyes,1,1,1,Chenoah Shine,Eye,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.376869173298,53.2403135421843,0.495932389890739,shore,9.87661120941539,1,1,9.7849
2021-09-08 09:23:12,1623,Pitt - Twartz (far),305,8.4,7.5,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.384981449466,53.2423046558825,1.04879753417768,shore,9.08641407017672,1,1,9.6414
2021-09-08 09:25:25,1624,Farrant Shore (medium),335,5.6,3.5,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.384059074174,53.2522703547837,1.88748763478287,horizon,11.0576416095903,1,1,9.60575
2021-09-08 12:04:42,1625,Pitt - Mt Dory (far),305,-0.1,6,Big Eyes,1,1,1,April Howeling,BigEyes,Body,MarMam,Dall's porpoise,Travel-N,NA,-1,No,NA,-129.382627565333,53.241318421863,0.857394273812412,horizon,8.9496309202983,1,1,6.2924
2021-09-08 12:10:11,1627,Fin-Keld Point (close),165,0.8,1.5,Binocs,1,1,1,April Howeling,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.369321392557,53.2307308018884,0.710790580870178,shore,6.30447745049205,1,1,6.2037
2021-09-08 18:05:20,1630,CMP - Southern Peaks (far),170,10,0.01,Big Eyes,3,4,5,April Howeling,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,No,NA,-129.350949920212,53.1651649530305,8.1063921367441,shore,8.31689977906207,1,1,8.49933333333333
2021-09-08 18:08:50,1631,CMP - Bangarangs (far),216,10,0.5,Big Eyes,1,1,1,April Howeling,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,No,NA,-129.415041911315,53.2015040432138,4.86810933296185,shore,10.3189994420877,1,1,8.55433333333333
2021-09-08 18:10:49,1632,Otter (far),230,10,0.2,Big Eyes,1,1,1,April Howeling,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,No,NA,-129.445064516067,53.2002260146314,6.34579234917409,shore,9.42538685276658,1,1,8.58325
2021-09-08 19:11:05,1634,Pitt - McReight Pt (medium),233,-0.1,0.2,Big Eyes,3,3,4,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Possibly,NA,-129.4545381011,53.1996838154684,6.87695273750286,horizon,9.5,1,1,9.61183333333333
2021-09-08 19:13:12,1635,CMP - Bangarangs (medium),218,6.2,1.2,Big Eyes,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Humpback,Travel-E,NA,-1,Possibly,NA,-129.405555150893,53.2112540359141,3.62131681794866,shore,10.3116634931584,1,1,9.6314
2021-09-08 19:22:23,1636,Pitt - Twartz (far),288,12.1,0.2,Big Eyes,8,8,9,Chenoah Shine,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,Possibly,NA,-129.468861232832,53.2556808960932,6.77795474071683,shore,9.62657866488451,1,1,9.70706666666667
