Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-09-15 07:06:13,1741,N/A,172,2.5,18,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Active,NA,-1,No,NA,-129.371301203683,53.2335693588184,0.374311965417858,horizon,9.63579948540215,1,1,7.29426666666667
2021-09-15 07:15:13,1742,Gil Mtn (medium),152,6.7,0.1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Heard,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.349066729501,53.2109896554903,3.26557831462779,shore,3.44251796560091,1,1,7.2367
2021-09-15 09:05:44,1743,CMP - Bangarangs (far),200,8,1.5,Big Eyes,1,1,1,April Howeling,BigEyes,Heard,MarMam,Humpback,Travel-E,NA,-1,No,NA,-129.384537832456,53.2164192845133,2.42551812647965,horizon,9.23080989498432,1,1,6.694
2021-09-15 09:10:17,1744,Gil Mtn (medium),175,2.5,2.6,Binocs,1,1,1,April Howeling,BigEyes,Heard,MarMam,Humpback,Travel-E,NA,-1,No,NA,-129.371460746383,53.2326411244881,0.475783663549479,horizon,6.7,1,1,6.69656666666667
2021-09-15 12:16:35,1745,CMP - Bangarangs (far),185,-0.1,0.55,Big Eyes,4,5,6,April Howeling,BigEyes,Blow,MarMam,Humpback,Feeding,NA,-1,No,NA,-129.377791281803,53.1978516985818,4.36229848330886,horizon,9.88863693300349,1,1,7.68208333333333
2021-09-15 12:17:29,1746,CMP - Bangarangs (far),185,13,0.5,Big Eyes,1,1,1,April Howeling,BigEyes,Blow,MarMam,Fin,Feeding,NA,-1,No,NA,-129.378005135647,53.1963887189912,4.52573531289789,horizon,9.89269088425243,1,1,7.68838333333333
2021-09-15 13:00:55,1747,S Squally (far),157,7,0.5,Big Eyes,2,2,2,Chenoah Shine,BigEyes,Blow,MarMam,Fin,Travel-E,NA,-1,No,NA,-129.353457770913,53.2106366278531,3.17511449395017,shore,4.12716217366368,1,1,7.91166666666667
2021-09-15 14:07:02,1748,Pitt - Mt Hulke (far),275,10,0.5,Binocs,1,1,1,April Howeling,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.40298928442,53.2385143222216,2.06646053350858,shore,8.09575577723372,1,1,8.07003333333333
2021-09-15 14:11:32,1749,S Squally (far),170,8,0.01,Binocs,4,4,4,April Howeling,Eye,Blow,MarMam,Fin,Travel-W,NA,-1,No,NA,-129.352784356725,53.1713919061324,7.40273430798159,shore,8.33406331176304,1,1,8.07253333333333
2021-09-15 14:19:38,1750,Otter (far),239,10,0.2,Binocs,1,1,1,April Howeling,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,No,NA,-129.417423762584,53.2205860769324,3.52329576425956,shore,9.72968295665958,1,1,8.07236666666667
2021-09-15 17:12:37,1752,Otter (far),333,-0.1,2,No answer,2,2,2,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,7.29798333333333
2021-09-15 17:15:50,1753,N/A,198,-0.1,0.025,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.409304529295,53.1683320433259,8.0230076394686,horizon,9.62086050577212,1,1,7.27166666666667
2021-09-15 17:16:54,1754,N/A,212,-0.1,1.1,Big Eyes,2,2,2,Janie Wray,BigEyes,Body,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.396450142928,53.2135586461932,3.06279784646629,horizon,9.61148426178678,1,1,7.2575
2021-09-15 17:20:26,1755,N/A,197,-0.1,0.15,Big Eyes,3,3,3,Janie Wray,BigEyes,Body,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.39913117537,53.1839471846492,6.16207019932814,horizon,9.59217348769002,1,1,7.22836666666667
2021-09-15 18:06:31,1756,N/A,209,14.1,0.65,Big Eyes,2,2,2,Janie Wray,BigEyes,Body,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.399369176523,53.2074353266227,3.74882754603226,horizon,9.31815636272686,1,1,6.82128333333333
2021-09-15 18:10:04,1757,N/A,205,-0.1,0.5,Big Eyes,2,2,2,Janie Wray,BigEyes,Body,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.398457177185,53.2030461120778,4.15675577604238,horizon,9.30027823474519,1,1,6.79513333333333
2021-09-15 18:10:58,1758,N/A,207,-0.1,6.5,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.377941208305,53.2300189367282,0.859457841739207,horizon,9.29226808741853,1,1,6.78343333333333
2021-09-15 18:18:40,1760,N/A,302,-0.1,17,Big Eyes,6,6,6,Janie Wray,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.376729342242,53.2386374791571,0.36491477160726,horizon,9.25170058091862,1,1,6.72433333333333
2021-09-15 19:03:15,1761,N/A,184,-0.1,0.65,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.375845081491,53.2047026255114,3.59201252911151,horizon,9.04361312992011,1,1,6.42525
2021-09-15 19:04:16,1762,N/A,197,-0.1,0.55,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.388979454931,53.2038223726704,3.84929625090511,horizon,9.0405278102283,1,1,6.42086666666667
2021-09-15 19:04:51,1763,N/A,199,-0.1,0.8,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.388057800233,53.2091321707527,3.26824156643351,horizon,9.03724190156239,1,1,6.4162
2021-09-15 19:09:52,1764,N/A,195,-0.1,15,Big Eyes,6,6,6,Janie Wray,BigEyes,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.373598954382,53.2335145316202,0.390061173089889,horizon,9.02046514850697,1,1,6.3924
