Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-09-14 07:15:56,1721,Gil Mtn (far),164,9,0.01,Binocs,1,1,1,April Howeling,Eye,Blow,MarMam,Humpback,Travel-S,NA,-1,No,NA,-129.348479259178,53.1876302580381,5.70396827111865,shore,6.15034689899007,1,1,6.583
2021-09-14 08:08:22,1722,CMP - Bangarangs (far),205,11,1,Big Eyes,2,2,2,April Howeling,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,No,NA,-129.391357531619,53.2121598912446,3.03778893491422,horizon,9.25617102225353,1,1,6.73083333333333
2021-09-14 08:17:25,1723,S Squally (far),159,12,0.5,Big Eyes,1,1,1,April Howeling,Eye,Splash,MarMam,Humpback,Robust,NA,-1,No,NA,-129.35530739901,53.2107424068631,3.11806724461635,shore,4.28469799354525,1,1,6.7755
2021-09-14 09:19:21,1724,Otter (far),251,12,0.5,Binocs,1,1,1,April Howeling,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.398828192943,53.2313853464085,1.8840809671927,shore,9.17013336315279,1,1,7.1308
2021-09-14 13:10:43,1727,S Squally (far),316,0.6,8.5,Binocs,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.374107394248,53.2381544617226,0.194083328121634,shore,9.20372681600829,1,1,8.35185
2021-09-14 13:18:31,1728,Pitt - Mt NicklBunk (medium),213,10.1,0.5,Big Eyes,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Humpback,Travel-W,NA,-1,Can't check now,NA,-129.411188833503,53.2008531198205,4.78253581516451,horizon,10.2996575642977,1,1,8.33396666666667
2021-09-14 13:19:48,1729,Pitt - Mt NicklBunk (medium),330,7.7,0.5,Big Eyes,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.407966747136,53.2740930357153,4.78027562426463,horizon,10.2960935408502,1,1,8.3282
2021-09-14 18:06:01,1731,Pitt - Mt NicklBunk (medium),253,9,0.85,Big Eyes,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Baleen spp.,Active,NA,-1,Can't check now,NA,-129.416736591976,53.2287209021856,3.11018278322704,shore,8.80126158033422,1,1,6.23893333333333
2021-09-14 18:12:34,1732,CMP - Southern Peaks (far),181,11.6,0.2,Big Eyes,1,1,2,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.373456850163,53.189803028705,5.24225362529986,horizon,8.89544352426087,1,1,6.21643333333333
2021-09-14 18:13:32,1733,CMP - Penders (far),200,-0.1,0.075,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Baleen spp.,Milling,NA,-1,Can't check now,NA,-129.405042982308,53.1826969946987,6.41889327927387,horizon,8.89437024327147,1,1,6.21493333333333
2021-09-14 18:15:44,1734,CMP - Bangarangs (medium),223,7.3,1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Other,NA,-1,Can't check now,NA,-129.401347301795,53.2181141673439,2.8581114086797,horizon,8.88978945515077,1,1,6.20853333333333
2021-09-14 19:04:06,1735,CMP - Penders (far),190,8,0.075,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.388762979802,53.1802828867337,6.39803069690145,horizon,8.8694815035566,1,1,6.1802
2021-09-14 19:05:56,1736,Otter (medium),233,8.2,0.1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.44507520973,53.2039577989978,6.08772228146861,horizon,8.87144264962649,1,1,6.18293333333333
2021-09-14 19:06:49,1737,Otter (medium),231,12.4,0.01,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Baleen spp.,Milling,NA,-1,Can't check now,NA,-129.463918733101,53.1923556138394,7.87111724966605,horizon,8.87207634195092,1,1,6.18381666666667
2021-09-14 19:08:06,1738,Otter (far),237,-0.1,0.1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.448757525819,53.2070740330636,6.08957112256258,horizon,8.87371416715294,1,1,6.1861
2021-09-14 19:14:23,1739,Pitt - Cherry Islets (close) ,275,1.4,11,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.379582018216,53.2372924174427,0.501385281428443,shore,8.07716017193394,1,1,6.19876666666666
2021-09-14 19:21:32,1740,CMP - Fanny-Paige Pt (far),231,8,1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.405466851533,53.2207155989471,2.86126911130336,horizon,8.89627820884315,1,1,6.2176
