Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-07-11 07:07:04,382,Otter (far),328,1.9,4.25,Big Eyes,2,2,4,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,1,No,NA,-129.385658344669,53.2499015784566,1.70631942191156,horizon,11.3141633734693,1,1,10.0566
2021-07-11 07:10:49,383,Otter (far),165,0.9,3.75,Binocs,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Hauled out,NA,-1,No,NA,-129.370154282389,53.2325912121518,0.496442250525522,shore,6.30646295428092,1,1,10.08735
2021-07-11 07:16:29,384,CMP - Ferrybough Pt (medium),197,11.5,0.3,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.400212342118,53.1818304095487,6.40838259824538,horizon,11.3552841213989,1,1,10.1298333333333
2021-07-11 08:08:22,385,CMP - Penders (Close),169,9.2,0.2,Big Eyes,2,3,5,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.355341213082,53.1853490056518,5.84439519969825,shore,6.98944442697815,1,1,10.3441
2021-07-11 08:16:00,386,N/A,332,-0.1,40,Binocs,1,1,1,Chenoah Shine,Eye,Splash,MarMam,Harbour seal,Other,NA,-1,No,NA,-129.372449388565,53.2373120795005,0.051940442627717,shore,11.0154142501136,1,1,10.344
2021-07-11 08:18:52,387,N/A,298,6.3,4.25,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Other,NA,-1,No,NA,-129.39523551849,53.2442655387747,1.74657183466289,shore,10.706743092921,1,1,10.3391333333333
2021-07-11 09:13:25,391,N/A,179,6.8,1.8,Big Eyes,1,1,2,Grace Baer,BigEyes,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.371311281512,53.2104286500057,2.94646421679174,horizon,11.1629497232425,1,1,9.78958333333333
2021-07-11 12:06:59,392,N/A,205,0.3,3,Binocs,1,1,1,Grace Baer,Binocs,Body,MarMam,Harbour seal,Active,NA,-1,No,NA,-129.374952464671,53.2332173809932,0.452205654781864,horizon,9.62258033006186,1,1,7.27426666666667
2021-07-11 19:04:26,398,N/A,351,1,0.7,Binocs,1,1,1,Grace Baer,Binocs,Body,MarMam,Harbour seal,Hauled out,NA,0,No,NA,-129.375981217058,53.2516295001925,1.65969746368596,shore,6.78001993416468,1,1,8.37516666666667
