Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-07-27 07:13:23,752,S Squally (far),166,-0.1,0.8,Big Eyes,2,2,2,Grace Baer,BigEyes,Body,MarMam,Humpback,Travel-E,NA,1,Possibly,NA,-129.358614517404,53.2045676483584,3.70836061536117,shore,6.44444620682547,1,1,8.86513333333333
2021-07-27 07:23:26,753,Pitt - Union Pass (medium),323,-0.1,7.5,Big Eyes,1,1,2,Grace Baer,BigEyes,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.381038276091,53.2440121241829,0.991128990008465,shore,10.2119130730902,1,1,9.02793333333333
2021-07-27 13:12:55,763,Pitt - McReight Pt (medium),239,0.9,15,Big Eyes,1,1,1,Grace Baer,Eye,Heard,MarMam,Humpback,Travel-E,NA,0,No,NA,-129.377664918103,53.2348926095093,0.433733829259693,horizon,9.5,1,1,7.14166666666667
2021-07-27 18:04:48,770,Pitt - Union Pass (far),326,8.8,0.025,Big Eyes,1,1,1,Grace Baer,BigEyes,Blow,MarMam,Baleen spp.,Active,NA,-1,No,NA,-129.437308525142,53.2947580979841,7.76931487052279,horizon,9.34170219303827,1,1,6.8558
2021-07-27 18:10:07,772,Fin- South Shore (close),140,0.4,40,Big Eyes,1,1,1,Grace Baer,Eye,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.371017054872,53.2361394705297,0.110488820223488,shore,0.306379833360129,1,1,6.92851666666667
2021-07-27 18:15:05,773,Pitt - Mt Hulke (far),280,8.4,0.01,Big Eyes,7,9,11,Grace Baer,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,No,NA,-129.496037945276,53.2499169953451,8.3837806614865,shore,9.20048105867481,1,1,7.00425
2021-07-27 18:21:14,776,CMP - Penders (medium),179,6.3,0.2,Big Eyes,2,2,2,Grace Baer,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.370591629299,53.1857528511682,5.69306932400302,horizon,9.50010108438908,1,1,7.09026666666667
2021-07-27 19:03:47,777,CMP - Southern Peaks (far),51,6.6,0.05,Can't,1,1,1,Grace Baer,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,No,NA,NA,NA,NA,NA,NA,1,1,7.68996666666667
