Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-06 07:02:50,972,Fin-Keld Point (close),144,-0.1,16,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Stellar's sea lion,Travel-E,NA,-1,No,NA,-129.367668053603,53.2332627475558,0.500339779664179,shore,3.24453926391542,1,1,9.594
2021-08-06 07:07:43,974,Pitt - MtNicklBunk (far),261,-0.1,0.01,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.486145451503,53.2260331395522,7.69219391663465,shore,7.81655983305727,1,1,9.55826666666667
2021-08-06 07:20:56,976,Pitt - Twartz (far),215,-0.1,11,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Elephant seal,Active,NA,-1,No,NA,-129.378502749324,53.2314127538826,0.745478713399057,shore,10.3188440024698,1,1,9.44373333333333
2021-08-06 08:11:56,978,Pitt - Mt Hulke (far),244,-0.1,0.01,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.500786801815,53.1992607156964,9.53803137559956,horizon,10.6398943214354,1,1,8.89366666666667
2021-08-06 13:09:48,990,CMP - Penders (far),185,-0.1,0.025,Big Eyes,1,1,1,Grace Baer,BigEyes,Blow,MarMam,Baleen spp.,Active,NA,-1,No,NA,-129.381842452469,53.1701374667964,7.45838787419773,horizon,8.9989905290344,1,1,6.362
2021-08-06 17:07:29,1000,N/A,357,-0.1,0.01,Binocs,1,1,1,Grace Baer,Binocs,Body,MarMam,Harbour seal,Hauled out,NA,-1,No,NA,-129.377011622231,53.293182376133,6.2723137620754,shore,6.69265103214526,1,1,8.16093333333333
2021-08-06 17:10:07,1001,Pitt - Twartz (close),320,0.1,40,Big Eyes,1,1,1,Grace Baer,Eye,Body,MarMam,Stellar's sea lion,Travel-N,NA,0,No,NA,-129.373978800412,53.2382519957468,0.196419752670928,shore,9.87096301198324,1,1,8.17346666666667
2021-08-06 18:16:58,1005,Fin - North Shore (close),360,2.7,1.5,Binocs,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Hauled out,NA,-1,No,NA,-129.3720833,53.2391223521056,0.247327177103633,shore,0.313735030032799,1,1,8.549
2021-08-06 19:05:54,1006,Pitt - Mt Hulke (medium),274,8.8,0.5,Big Eyes,1,1,2,Chenoah Shine,BigEyes,Body,MarMam,Humpback,Travel-W,NA,-1,Can't check now,NA,-129.441223853435,53.2397736482535,4.61658427175613,shore,8.06670044318802,1,1,8.3227
2021-08-06 19:08:53,1007,Fin - North Shore (close),360,3.8,2.4,Binocs,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Hauled out,NA,-1,No,NA,-129.3720833,53.2388339965008,0.21523587277269,shore,0.30909382592138,1,1,8.29793333333333
