Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-13 07:10:17,1136,Twartz Bay (medium),292,3,19,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Active,NA,-1,No,NA,-129.377520594462,53.2382146839093,0.390612166150955,shore,9.28923057879219,1,1,8.03368333333333
2021-08-13 12:06:51,1140,S Squally (medium),167,1.1,14,Big Eyes,2,3,5,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.370161850676,53.231918777013,0.568944201812144,shore,6.60483637037107,1,1,9.0121
2021-08-13 12:10:45,1141,CMP - Bangarangs (medium),207,9.1,1.3,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Elephant seal,Resting,NA,-1,No,NA,-129.394515361639,53.2105483511474,3.29117675039763,horizon,10.6710036253745,1,1,8.94575
2021-08-13 13:02:33,1143,Farrant Shore (medium),330,5,0.75,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Heard,MarMam,Humpback,Resting,NA,-1,No,NA,-129.402037936923,53.267948594146,3.99045885825178,horizon,10.1626676629984,1,1,8.11375
2021-08-13 13:12:29,1146,Farrant Shore (medium),343,3.6,1.5,Binocs,4,5,7,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,1,No,NA,-129.375989550976,53.2445469331723,0.889925349273392,shore,6.80929914572763,1,1,7.95375
2021-08-13 14:06:07,1148,Gil Mtn (medium),279,1.5,2.6,Binocs,2,2,3,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.37949217039,53.2376020891488,0.499644191471286,horizon,6.7,1,1,7.05036666666667
2021-08-13 14:18:43,1153,Pitt - Mt Hulke (far),314,4.5,2.2,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Sleeping,NA,-1,Can't check now,NA,-129.393098516228,53.2490443631244,1.94593595801778,shore,9.05353571946272,1,1,6.83725
