Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-03 07:04:16,904,Fin-Keld Point (close),156,1.9,2.2,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Humpback,Travel-W,NA,-1,No,NA,-129.360965657104,53.2219543636869,1.82065725825752,shore,3.94758908032118,1,1,7.99886666666666
2021-08-03 07:10:28,905,S Squally (far),160,7.1,0.35,Big Eyes,2,3,5,Chenoah Shine,BigEyes,Blow,MarMam,Fin,Milling,NA,-1,Can't check now,NA,-129.351657862038,53.2033109376853,3.97785075875867,shore,5.09394330018305,1,1,7.94626666666667
2021-08-03 07:17:29,907,Gil Mtn (far),161,6.6,0.01,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Heard,MarMam,Humpback,Robust,NA,-1,Can't check now,NA,-129.346173231863,53.1918604966849,5.30097121648453,shore,5.35109997927537,1,1,7.88713333333333
2021-08-03 07:18:56,908,S Squally (far),164,6.2,0.1,Big Eyes,2,2,3,Chenoah Shine,BigEyes,Heard,MarMam,Humpback,Travel-W,NA,-1,Can't check now,NA,-129.349319087592,53.1893833485761,5.50102185114628,shore,6.14944647878513,1,1,7.8746
2021-08-03 08:06:51,909,Fin - Buckle Pt (medium),341,1.8,6.5,Big Eyes,2,2,3,Chenoah Shine,BigEyes,Heard,MarMam,Humpback,BubbleNet,NA,-1,Possibly,NA,-129.376693462601,53.2449132625624,0.943198497264555,horizon,3,1,1,7.51005
2021-08-03 08:08:34,910,Farrant Shore (medium),343,2,12,Big Eyes,1,1,1,Chenoah Shine,Eye,Body,MarMam,Humpback,Travel-N,NA,-1,Possibly,NA,-129.374504571215,53.2416399304476,0.551616023183188,shore,6.80751621748756,1,1,7.4986
2021-08-03 08:12:14,911,Farrant Shore (medium),289,9.9,0.5,Big Eyes,1,1,2,Chenoah Shine,Eye,Body,MarMam,Humpback,Travel-S,NA,-1,Possibly,NA,-129.435064601873,53.2498627554866,4.43680446441577,shore,9.47571139757022,1,1,7.4746
2021-08-03 08:17:40,913,CMP - Southern Peaks (close),169,6.7,0.2,Big Eyes,1,1,1,Chenoah Shine,Eye,Blow,MarMam,Baleen spp.,Active,NA,-1,Can't check now,NA,-129.356812190285,53.1898784244642,5.33090043453482,shore,6.97700377198697,1,1,7.441
2021-08-03 08:18:56,914,CMP - Southern Peaks (close),158,4.1,1.1,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Humpback,Travel-E,NA,-1,Can't check now,NA,-129.358181509829,53.2163056530938,2.47186126539489,shore,4.19541379022107,1,1,7.4334
2021-08-03 09:03:19,915,N/A,161,3,0.9,Big Eyes,1,1,1,Grace Baer,BigEyes,Body,MarMam,Humpback,Robust,NA,-1,Can't check now,NA,-129.357874732302,53.2122019250233,2.90694735828415,shore,5.35264364803251,1,1,6.94836666666667
2021-08-03 09:04:26,916,N/A,303,0.4,30,Big Eyes,2,2,2,Grace Baer,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.374862039391,53.2379799956083,0.22069128767937,horizon,9.40245813633469,1,1,6.94526666666667
2021-08-03 12:15:18,921,CMP - Bangarangs (close),240,0.2,3.75,Binocs,3,3,3,Grace Baer,Eye,Body,MarMam,Stellar's sea lion,Active,NA,-1,No,NA,-129.376879134862,53.2352427096065,0.368860679377455,horizon,9.62894982200833,1,1,7.2839
2021-08-03 13:11:59,922,N/A,315,0.7,1,Big Eyes,4,6,8,Grace Baer,Eye,Body,MarMam,Dall's porpoise,Milling,NA,2,No,NA,-129.40714648139,53.2578804393881,3.30289739127783,shore,9.11687887711251,1,1,7.54493333333333
2021-08-03 17:04:05,923,N/A,159,1.8,0.15,Binocs,1,1,1,Grace Baer,Eye,Splash,MarMam,Humpback,Robust,NA,-1,Possibly,NA,-129.356386565918,53.2124251538935,2.91748695129192,shore,4.2973852935195,1,1,7.6215
2021-08-03 19:14:53,926,N/A,256,-0.1,0.3,Binocs,1,1,1,Grace Baer,Eye,Blow,MarMam,Humpback,Travel-S,NA,-1,No,NA,-129.407903582971,53.2315493595155,2.45897237498844,shore,8.85468391895986,1,1,6.68381666666667
