Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-27 08:14:38,1448,N/A,315,-0.1,3.25,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Milling,NA,-1,Can't check now,NA,-129.391568154357,53.2485602478145,1.83544313038663,shore,9.12053093517213,1,1,8.78333333333333
2021-08-27 08:20:43,1449,N/A,156,-0.1,11,Big Eyes,2,2,2,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.368083711923,53.2315234048548,0.654984072134959,shore,3.96288296168594,1,1,8.83601666666667
2021-08-27 09:03:04,1450,N/A,80,1,9.5,Binocs,10,12,12,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,BubbleNet,NA,-1,Definitely,NA,-129.3692754407,53.2371962890235,0.189912108753265,shore,5.08486318900425,1,1,9.20953333333333
2021-08-27 09:17:49,1453,N/A,170,1.4,13,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.370439540753,53.2313205663131,0.630516931216429,shore,8.33680694017636,1,1,9.28108333333333
2021-08-27 14:12:07,1457,N/A,336,-0.1,8.5,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.376191131673,53.2424219662778,0.672710355501886,shore,7.03439655072357,1,1,6.69471666666667
2021-08-27 14:14:07,1459,N/A,292,-0.1,1.1,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.412084268056,53.2465660503955,2.87364684092442,horizon,9.21689482779572,1,1,6.67383333333333
2021-08-27 14:21:37,1461,N/A,286,-0.1,0.05,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Baleen spp.,Milling,NA,-1,Can't check now,NA,-129.47372137575,53.2542998094216,7.0427687927984,horizon,9.15993471509194,1,1,6.5916
2021-08-27 17:07:50,1462,N/A,258,-0.1,6.5,Big Eyes,5,5,5,Janie Wray,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.383715345826,53.2354196427486,0.792100854925068,shore,8.73298043608663,1,1,6.20583333333333
2021-08-27 17:11:42,1463,N/A,243,-0.1,4.75,Big Eyes,2,2,2,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-E,NA,-1,Can't check now,NA,-129.385826257073,53.2327082271056,1.02737283210444,horizon,8.90893197312547,1,1,6.2353
2021-08-27 17:24:01,1465,N/A,314,-0.1,8,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.37939106337,53.2411234609337,0.676673484916013,horizon,8.97785444987743,1,1,6.33215
2021-08-27 18:04:58,1466,N/A,337,3.1,1.2,Big Eyes,4,4,4,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,BubbleNet,NA,-1,Can't check now,NA,-129.388021535547,53.2593717847858,2.71700858183182,shore,6.98642184703026,1,1,6.8266
2021-08-27 18:08:05,1467,Farrant Shore (close),347,4.6,0.55,Big Eyes,2,2,3,Chenoah Shine,BigEyes,Blow,MarMam,Baleen spp.,Travel-E,NA,-1,Can't check now,NA,-129.385102122346,53.2706495736288,3.85489420637874,shore,6.95695327534852,1,1,6.86183333333333
2021-08-27 18:08:53,1468,Farrant Shore (close),343,6.9,0.7,Big Eyes,2,3,4,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.387383596869,53.2668513523818,3.4857264938798,shore,6.79714468279962,1,1,6.86983333333333
2021-08-27 18:15:03,1469,Pitt - Mt Dory (medium),310,9,0.5,Big Eyes,1,1,2,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Robust,NA,-1,Can't check now,NA,-129.420549194397,53.2612301071534,4.21415997903127,shore,9.02857497106953,1,1,6.94055
2021-08-27 19:03:16,1470,CMP - Bangarangs (close),218,-0.1,22,Big Eyes,1,1,1,Grace Baer,Eye,Blow,MarMam,Humpback,Travel-E,NA,0,No,NA,-129.374943553874,53.2347088539105,0.309450634325788,horizon,9.61940502967014,1,1,7.26946666666667
2021-08-27 19:18:50,1471,Fin - North Shore (far),344,-0.1,0.8,Big Eyes,1,1,1,Grace Baer,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.386374090625,53.2667275226774,3.45340069012277,shore,6.77222118197994,1,1,7.47483333333333
