Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-19 07:16:41,1227,N/A,319,-0.1,24,Big Eyes,6,6,6,Janie Wray,BigEyes,Blow,MarMam,Humpback,BubbleNet,NA,-1,Definitely,NA,-129.375462537441,53.2392265722114,0.343087238974278,shore,9.84373278557599,1,1,8.7988
2021-08-19 07:20:44,1228,N/A,235,-0.1,0.75,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Definitely,NA,-129.423339739868,53.2154084836064,4.16785561015927,shore,9.11739324374221,1,1,8.74346666666667
2021-08-19 07:21:51,1229,N/A,280,-0.1,22,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,BubbleNet,NA,-1,Can't check now,NA,-129.37754001303,53.2374757390887,0.369069731427172,shore,9.21101675590361,1,1,8.72725
2021-08-19 08:06:20,1230,N/A,213,10.8,0.55,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.409056552911,53.2028189526115,4.52176175870372,horizon,10.1482011658211,1,1,8.09066666666667
2021-08-19 08:11:03,1231,N/A,329,3,2.4,Big Eyes,6,6,6,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,-1,Can't check now,NA,-129.388312659097,53.2530647060213,2.09889546478494,horizon,10.1064618406147,1,1,8.02425
2021-08-19 08:17:41,1234,N/A,196,-0.1,0.65,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Fin,Active,NA,-1,Can't check now,NA,-129.389353313269,53.2008520078742,4.17333640710297,horizon,10.0495405931366,1,1,7.93411666666667
2021-08-19 09:05:57,1237,N/A,191,5.2,0.95,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.381644475284,53.2074602261667,3.33765333256657,horizon,9.69068520204429,1,1,7.3776
2021-08-19 09:15:11,1239,N/A,176,5.6,30,Binocs,1,1,1,Chenoah Shine,BigEyes,Body,MarMam,Harbour seal,Active,NA,-1,No,NA,-129.372032119002,53.236461938754,0.0488712002455234,horizon,9.6169787466579,1,1,7.2658
2021-08-19 12:14:00,1243,CMP - Penders (Close),179,-0.1,11,Big Eyes,1,1,1,Grace Baer,BigEyes,Heard,MarMam,Humpback,Travel-N,NA,0,Can't check now,NA,-129.371945407627,53.2321718789567,0.526276164486154,horizon,9.11074849436973,1,1,6.521
2021-08-19 12:20:25,1247,CMP - Bangarangs (close),227,0.2,30,Big Eyes,2,3,4,Grace Baer,BigEyes,Body,MarMam,Harbour seal,Milling,NA,-1,No,NA,-129.374376066277,53.2356203449404,0.208814712623858,horizon,9.14009934081454,1,1,6.56308333333333
2021-08-19 19:15:14,1256,CMP - Bangarangs (far),226,-0.1,0.025,Big Eyes,1,1,1,Grace Baer,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,No,NA,-129.459359803669,53.1864247817029,8.08149989512322,horizon,9.68516681795285,1,1,7.3692
